GIFT_ID;PC6;DATE
90;7396AM;12/1/2020
91;7315AD;3/16/2018
92;7311NX;3/19/2018
93;7321JP;12/24/2022
94;7261GH;12/5/2018
95;7241AL;10/28/2022
96;8913BC;3/13/2022
97;7101WE;12/1/2021
98;7045AT;5/14/2018
99;7007KS;5/14/2018
100;6996BA;5/28/2018
101;6983BH;5/28/2018
102;7039BA;6/15/2022
103;6882MT;6/18/2022
104;6911AZ;12/1/2020
105;6836DV;5/28/2018
106;6836DV;3/27/2018
107;6562ZL;11/1/2020
108;6562ZL;12/5/2018
109;6546HT;3/3/2022
110;6245LD;4/3/2018
111;6213KA;12/9/2018
112;6171KL;12/3/2018
113;6005JW;1/1/2022
114;6021LA;5/31/2018
115;5971DK;3/1/2022
116;5953NB;5/28/2018
117;8326AC;12/23/2018
118;2221LK;12/1/2020
119;5688ER;3/2/2022
120;5663RJ;10/6/2022
121;3701TA;6/11/2018
122;5629GX;11/23/2022
123;3062KM;3/24/2019
124;5658GG;12/1/2021
125;5361LP;3/3/2022
126;5361LP;3/1/2022
127;5361LP;5/1/2021
128;5361LP;2/23/2018
129;5302XJ;4/4/2019
130;5263CT;6/20/2022
131;5151WJ;11/4/2022
132;5103SN;2/28/2022
133;5045XG;6/22/2018
134;5045XG;3/26/2018
135;5045NJ;3/5/2022
136;5043MD;8/10/2020
137;4941HZ;3/12/2018
138;4906ER;3/13/2018
139;4904DJ;5/25/2018
140;4824RG;3/3/2022
141;1113KL;11/4/2022
142;4797CC;3/23/2018
143;4751JK;3/5/2022
144;4635AD;12/1/2020
145;4635AD;11/8/2022
146;4635AD;5/2/2019
147;4463AG;3/1/2022
148;4388AS;12/1/2021
149;4364CA;11/1/2020
150;4334GG;9/1/2021
151;4317NC;12/1/2021
152;4143BD;5/24/2018
153;3951WE;7/16/2022
154;3906NR;3/19/2018
155;3894BH;3/7/2022
156;3888MN;12/1/2021
157;3881SH;11/6/2022
158;3863DR;5/24/2018
159;3829CH;3/25/2019
160;7011DP;3/4/2022
161;7011DP;12/1/2021
162;6865VX;4/15/2020
163;3816VZ;12/1/2021
164;3813CL;12/1/2021
165;3817XP;11/6/2022
166;3755KG;12/1/2020
167;3751VK;11/5/2022
168;3723XE;12/1/2020
169;3723XE;11/3/2022
170;3702SR;11/3/2022
171;3612AN;11/4/2022
172;3612AN;12/1/2021
173;3608TG;11/4/2022
174;3741BH;12/21/2018
175;3741BH;12/8/2018
176;3741BH;12/1/2020
177;3741BH;5/30/2020
178;9752NV;3/1/2022
179;3552CL;12/15/2021
180;3571ZJ;12/1/2021
181;4107LJ;3/3/2022
182;6816TD;3/2/2022
183;3522KD;11/12/2022
184;3522KD;9/1/2021
185;3512TJ;3/1/2021
186;3511MB;3/3/2022
187;3466NW;12/3/2022
188;3454DD;5/14/2018
189;3437ZH;11/6/2022
190;3421TK;3/16/2018
191;3421TK;6/18/2018
192;3341GL;3/7/2022
193;3341BL;11/3/2022
194;3328AP;12/1/2021
195;3315PM;12/20/2019
196;3315PM;5/28/2018
197;3315PM;6/26/2018
198;3311SK;11/3/2022
199;3311HE;12/1/2021
200;3311HE;11/5/2022
201;3311HE;9/8/2019
202;3295PE;7/1/2021
203;3271VG;11/9/2019
204;3264LE;11/21/2022
205;3255AX;10/1/2022
206;3201CG;7/29/2022
207;3195HL;11/13/2018
208;3171BJ;9/30/2022
209;3146AK;5/14/2018
210;3146AK;3/26/2018
211;3218AD;6/26/2018
212;3218AD;7/26/2018
213;3218AD;8/31/2018
214;3218AD;9/26/2018
215;3218AD;10/26/2018
216;3218AD;11/26/2018
217;3218AD;12/27/2018
218;3218AD;1/25/2019
219;3218AD;2/27/2019
220;3218AD;3/27/2019
221;3723DM;12/3/2018
222;3061VK;11/1/2020
223;3063AJ;3/13/2022
224;2651RL;6/18/2022
225;3068TH;12/1/2020
226;3068TH;4/20/2022
227;2983GD;11/9/2022
228;2973XE;5/28/2018
229;2951XV;5/16/2018
230;2951XV;11/4/2022
231;3059SE;6/27/2022
232;2904SH;3/3/2022
233;3271VA;7/1/2021
234;2851TN;10/8/2022
235;2851TN;3/30/2019
236;2825BV;3/1/2022
237;2825BV;9/12/2020
238;2804MC;10/26/2018
239;2804LH;12/1/2020
240;2321GS;5/14/2018
241;2724PT;12/1/2020
242;2671JV;3/20/2018
243;2631WD;12/1/2021
244;2631WD;6/15/2022
245;2631DB;11/20/2022
246;2498EE;12/25/2018
247;3522BC;11/1/2020
248;2564RL;2/24/2018
249;4301CP;1/8/2019
250;4301CP;1/25/2019
251;2415BC;3/2/2022
252;2406KL;11/16/2018
253;2353WP;12/17/2018
254;2353WP;12/1/2021
255;2343XB;7/27/2018
256;2343NV;6/4/2022
257;2498CK;12/24/2018
258;2316XV;11/3/2022
259;2313AX;11/26/2022
260;2311RL;12/1/2021
261;2311RL;12/3/2022
262;2725AN;7/30/2022
263;2252XN;12/2/2019
264;2241MX;3/21/2018
265;2231KN;12/13/2022
266;2221PV;3/15/2018
267;2224EG;3/12/2022
268;2215XZ;11/5/2022
269;2215JX;1/29/2018
270;2215JX;5/10/2018
271;2211RC;11/1/2020
272;2135KA;11/5/2022
273;2106CN;6/11/2018
274;5291AH;10/11/2022
275;2034CE;12/7/2018
276;2033ZV;12/24/2022
277;2013RC;1/15/2019
278;2013CG;11/9/2022
279;2013BR;1/1/2021
280;1934CE;9/1/2021
281;1934CE;5/30/2022
282;1871GV;11/12/2022
283;1851PH;6/18/2020
284;1031KG;9/12/2020
285;1031KG;6/18/2022
286;1031KG;12/1/2020
287;1815BM;4/3/2019
288;1814BC;8/17/2020
289;1814BC;5/14/2018
290;1791CG;6/20/2022
291;1733EA;8/16/2020
292;1701TA;9/25/2022
293;1441LV;8/15/2020
294;1427AH;10/17/2022
295;1391RV;3/2/2022
296;1313ET;4/3/2018
297;1313ET;6/4/2018
298;1275CX;5/16/2022
299;1241CK;3/3/2022
300;1221HN;6/1/2018
301;1191TM;12/21/2022
302;1191VP;3/13/2022
303;7203HV;6/17/2022
304;1095DS;2/24/2018
305;1095DS;8/13/2020
306;1095DS;3/1/2022
307;2312LG;10/27/2020
308;2312LG;6/5/2022
309;1092HS;6/13/2022
310;1092HS;7/1/2021
311;1678HJ;5/30/2018
312;1018ES;3/2/2022
313;1071XA;11/19/2018
314;2134AN;2/28/2022
315;1066HD;11/9/2022
316;1066SZ;11/4/2022
317;1948AJ;3/1/2022
318;2106DE;3/12/2018
319;6101HC;11/6/2020
320;3972ET;6/23/2022
321;1274NL;12/23/2022
322;2805GZ;11/3/2022
323;3742XP;7/28/2020
324;8171XM;3/3/2022
325;3524DM;7/17/2018
326;3524DM;10/4/2018
327;3524DM;11/12/2018
328;3524DM;1/17/2019
329;3524DM;5/28/2019
330;3524DM;10/6/2019
331;3524DM;5/24/2020
332;3524DM;7/31/2020
333;3524DM;4/1/2021
334;3524DM;6/1/2021
335;7548CA;1/5/2022
336;1851AN;4/1/2019
337;1098PX;10/6/2022
338;8913CT;9/26/2018
339;8913CT;9/20/2020
340;6164GZ;6/16/2022
341;4708LP;5/24/2018
342;7981AP;11/1/2020
343;3723HR;10/1/2021
344;1391AD;11/16/2022
345;1391AD;5/14/2022
346;9422JK;2/28/2022
347;3572TW;12/1/2020
348;3572TW;4/26/2022
349;3572TW;12/1/2021
350;2651HG;3/1/2018
351;2432CD;12/1/2021
352;2332JN;6/26/2020
353;3721BL;12/1/2020
354;3721BL;5/18/2019
355;2614LX;2/15/2019
356;9793PA;12/1/2020
357;9728WK;3/12/2018
358;9401PT;10/6/2022
359;9035ED;5/25/2018
360;8921KM;5/14/2018
361;8303ZW;6/26/2018
362;8308PK;1/1/2021
363;7609EL;8/21/2020
364;7522CS;12/3/2018
365;7425AH;11/3/2022
366;7123CB;6/18/2018
367;6708RM;3/30/2019
368;5271BG;1/1/2022
369;5251DL;3/20/2018
370;5032BL;11/22/2019
371;5056HC;3/14/2022
372;4471AV;3/3/2022
373;4041WC;3/7/2022
374;4041WC;1/1/2022
375;3818PM;12/1/2020
376;3601CE;7/1/2022
377;3405WB;10/2/2018
378;3286XB;6/27/2018
379;3261BV;9/12/2019
380;2405CP;6/26/2022
381;2405CP;8/25/2022
382;2215JT;3/1/2022
383;2215JT;1/1/2021
384;2211CD;12/23/2022
385;2151SR;12/1/2021
386;1852BE;6/11/2018
387;1822JA;12/1/2020
388;1723HH;3/7/2022
389;1412BN;4/3/2018
390;1185BT;9/4/2018
391;9919TB;5/9/2018
392;9251LZ;12/21/2018
393;9752LS;8/27/2018
394;9717HA;8/17/2020
395;8701HM;8/1/2021
396;8701HM;3/23/2022
397;9728RH;3/2/2022
398;8862LC;11/30/2018
399;9718KJ;2/28/2018
400;9718KJ;5/29/2018
401;9717CK;6/15/2022
402;9717CK;12/1/2021
403;9716GJ;12/15/2022
404;9716GJ;3/25/2019
405;9716GJ;6/16/2022
406;9734BJ;7/15/2022
407;9617AG;3/28/2018
408;9482TE;1/25/2019
409;9482TE;12/1/2020
410;9482TE;3/12/2022
411;3766GL;10/9/2022
412;3766GL;11/5/2022
413;9404HR;10/6/2022
414;9356SK;8/27/2018
415;9354VG;5/28/2018
416;9301JE;3/15/2018
417;9285KE;6/20/2022
418;9285KE;11/4/2022
419;8935BH;8/26/2018
420; ;3/1/2021
421;9218PC;5/1/2021
422;9104HS;12/18/2018
423;9035ET;11/7/2022
424;9033XA;11/3/2022
425;8722HC;12/1/2021
426;8633KW;5/28/2018
427;8605CE;6/13/2018
428;8603DH;2/25/2018
429;8571RL;3/21/2018
430;8411XM;12/1/2021
431;7471BE;11/16/2018
432;8334SK;12/1/2021
433; ;12/21/2019
434;8307RD;12/1/2021
435;8226DG;8/25/2020
436;8181RM;9/23/2022
437;8181RM;6/15/2022
438;8181RM;8/27/2022
439;8101NR;8/17/2020
440;8064JA;12/25/2022
441;8033EB;11/11/2022
442;7944AV;8/15/2020
443;7941MC;12/9/2018
444;7905ET;6/15/2022
445;7812NZ;12/1/2021
446;7791HA;11/6/2022
447;7791RG;2/1/2022
448;7751AP;7/1/2021
449;7711NW;11/4/2022
450;7622DB;11/4/2022
451;7576CJ;3/7/2022
452;7576CJ;10/6/2022
453;7577SP;6/15/2022
454;7577SP;11/3/2022
455;7524NK;11/3/2022
456;7558TR;12/1/2021
457;7555AJ;1/1/2021
458;7555AJ;12/8/2018
459;7555AJ;11/3/2022
460;7542JR;3/27/2018
461;7542MK;12/24/2018
462;7481HK;6/11/2018
463;7429AL;1/27/2020
464;7422NM;12/1/2020
465;7313GJ;6/25/2022
466;7314EA;3/16/2022
467;7232DW;11/18/2018
468;7232DW;2/22/2019
469;7137SB;12/1/2021
470;7121HL;3/5/2018
471;7121DS;4/7/2020
472;7121DS;6/16/2022
473;7051CG;11/4/2022
474;7004HK;3/26/2018
475;7004HK;12/1/2020
476;6991CR;11/3/2022
477;6921AV;4/3/2018
478;6866DD;9/1/2021
479;6861WV;11/3/2022
480;6822LN;6/17/2022
481;6816RC;11/8/2022
482;6814DL;4/3/2019
483;6814DL;11/8/2022
484;6814DL;7/11/2022
485;6741DB;5/25/2022
486;7201GE;5/2/2019
487;7201GE;8/10/2020
488;7201GE;5/15/2018
489;6721TR;2/28/2022
490;6711JM;12/1/2020
491;3772AG;5/28/2018
492;7411ZC;2/1/2021
493;6705BC;12/1/2021
494;6705BC;11/29/2018
495;7213DJ;11/5/2022
496;6631AM;12/5/2018
497;5076SM;12/1/2020
498;6605NT;11/1/2021
499;6605NT;11/23/2022
500;6604GD;12/8/2022
501;6602CW;3/29/2019
502;6602ZL;3/23/2018
503;6132SG;11/20/2022
504;6564BE;3/13/2022
505;6545HC;11/6/2022
506;6545HC;2/1/2021
507;6543ZT;12/26/2018
508;6543ZT;7/16/2022
509;6532ZE;6/18/2018
510;6512BC;12/1/2021
511;6512BC;11/1/2020
512;6512BC;12/1/2020
513;6512BC;12/20/2022
514;6522JR;5/25/2018
515;6451DE;4/26/2019
516;6438KP;3/1/2022
517;6438KP;12/27/2018
518;6431CL;12/1/2021
519;6416HT;2/24/2018
520;6369XL;6/1/2018
521;6267BH;11/26/2022
522;2512CA;12/19/2022
523;6216RV;6/15/2018
524;6162KJ;3/13/2022
525;6031VP;4/3/2018
526;6031VP;6/4/2018
527;6081AP;9/26/2018
528;5953MP;4/3/2018
529;5953MP;8/22/2020
530;5953NG;5/30/2018
531;5735CM;11/20/2022
532;5324BZ;11/8/2022
533;5324BZ;12/7/2018
534;5644TL;12/31/2018
535;5561CG;6/15/2022
536;5506GH;12/1/2021
537;5421VN;6/19/2018
538;5673NG;3/2/2022
539;5374AA;12/24/2022
540;5321SR;12/1/2021
541;5301DG;12/1/2020
542;5283XX;10/25/2020
543;5283KM;8/27/2018
544;5244GM;8/24/2018
545;5221KK;12/1/2021
546;5221KK;7/1/2021
547;4006AH;12/1/2020
548;5221KE;12/1/2021
549;5215GN;6/5/2018
550;5172AZ;3/3/2022
551;5172AZ;6/16/2022
552;5081SJ;11/26/2018
553;5081SJ;2/8/2019
554;5081SJ;9/8/2019
555;5081SJ;9/22/2022
556;5071GS;8/22/2020
557;6241CR;3/2/2022
558;5012AN;11/25/2022
559;4931CP;12/1/2021
560;4926AW;8/27/2020
561;4851CM;12/1/2021
562;4847DB;11/1/2020
563;4847DB;4/27/2022
564;4847DB;6/1/2022
565;4847DB;6/1/2022
566;4847DB;12/31/2018
567;4847DB;12/1/2020
568;4847DB;12/1/2021
569;4834XT;11/8/2022
570;4706CC;6/4/2018
571;4507AT;3/20/2018
572;4491GE;6/15/2022
573;4491GE;11/5/2022
574;4464BA;6/21/2018
575;4464AX;8/6/2020
576;4464AX;3/27/2019
577;4451BH;12/1/2021
578;4451BH;11/4/2022
579;4438NA;11/7/2022
580;4361BG;5/31/2019
581;4353CD;6/25/2018
582;4333DB;11/3/2022
583;4284XH;10/24/2019
584;4251HM;8/26/2020
585;4151CD;11/20/2022
586;4151CD;12/30/2022
587;4133BL;6/13/2018
588;4116CD;4/3/2018
589;1815EJ;3/26/2018
590;1815EJ;9/9/2019
591;4105EB;11/25/2019
592;4012BN;6/4/2018
593;4005DD;3/1/2022
594;3993RC;11/3/2022
595;3984CC;12/1/2020
596;3961TC;12/1/2021
597;3961LH;11/5/2022
598;3961LH;7/1/2021
599;3941VL;11/6/2022
600;3971NK;7/1/2021
601;3931SR;12/29/2022
602;3906CP;3/2/2022
603;3904LE;11/4/2022
604;3892XV;11/3/2022
605;3892XN;1/1/2021
606;6815EP;12/1/2021
607;3862XA;8/8/2020
608;3844AW;5/22/2020
609;3843GX;6/15/2018
610;4145NV;2/23/2018
611;4145NV;11/3/2022
612;3824PZ;4/11/2022
613;3822VE;12/24/2018
614;3818HJ;6/12/2018
615;2312TH;9/1/2021
616;3816TD;6/22/2018
617;5583EC;6/20/2022
618;3769JT;3/8/2018
619;3769JT;6/8/2018
620;3768HE;11/4/2022
621;3572JA;11/3/2022
622;3763LL;2/28/2022
623; ;10/1/2021
624; ;1/1/2022
625; ;1/8/2019
626; ;11/28/2018
627; ;2/1/2019
628; ;7/1/2021
629;3514JJ;2/24/2018
630;3743KD;9/8/2019
631;3743KD;8/1/2021
632;3704AV;3/24/2019
633;1082GM;2/1/2022
634;3621TE;12/1/2020
635;3455SM;2/1/2021
636;3573BL;6/16/2022
637;3572RB;12/1/2020
638;3571KB;5/1/2021
639;3552EC;2/23/2018
640;6961HL;5/14/2018
641;3524HL;6/14/2018
642;3991MB;2/24/2018
643;3991MB;3/17/2020
644;3993BD;8/17/2020
645;3993BD;6/24/2022
646;9331BX;12/1/2020
647;3511HV;11/5/2022
648;3471ET;10/6/2022
649;3481EP;11/20/2022
650;6971AP;3/13/2018
651;3381JT;12/8/2022
652;3343BM;12/1/2021
653;3313CV;11/26/2018
654;3313CV;3/7/2022
655;3311VC;12/12/2022
656;3311VC;1/1/2022
657;3311CV;10/1/2022
658;3311CV;12/23/2022
659;3206AL;12/6/2018
660;3201KV;12/21/2022
661;3191JV;12/6/2018
662;3146SJ;3/19/2022
663;3141CA;2/28/2022
664;3144BJ;9/9/2019
665;3144BJ;10/10/2022
666;3144BJ;8/24/2018
667;3144BJ;3/2/2018
668;3144BJ;4/4/2019
669;3137DC;11/24/2022
670;3134XH;7/1/2021
671;3065PG;11/5/2022
672;3055LE;6/4/2018
673;4841MA;6/18/2018
674;2612XW;3/12/2018
675;7223LE;10/19/2022
676;3011EP;11/1/2021
677;2992RH;11/20/2018
678;2923AH;3/1/2022
679;2803RH;9/16/2022
680;2761BN;12/23/2018
681;2726RZ;3/2/2022
682;4005AB;1/1/2021
683;4005AB;11/3/2022
684;2717AN;5/28/2018
685;2713HT;12/1/2020
686;2713EG;9/16/2022
687;2713EG;12/12/2022
688;2713ED;4/24/2022
689;2692CM;12/1/2020
690;2691ED;6/18/2022
691;2671TE;10/1/2021
692;3072MH;10/15/2018
693;2641VJ;3/20/2018
694;2635GB;12/7/2018
695;2614KG;3/1/2018
696;2614KG;8/18/2022
697;2613BL;12/24/2018
698;2611AM;2/1/2022
699;2241SG;12/29/2022
700;2597TE;12/1/2021
701;2596TT;3/16/2018
702;2592XW;6/1/2018
703;2582ES;10/6/2022
704;2582ES;10/10/2022
705;2582ES;11/4/2022
706;2564JP;12/20/2018
707;2564JP;11/23/2018
708;2692AA;12/1/2021
709;2421NE;12/16/2022
710;2421NE;1/3/2020
711;2421NE;12/1/2020
712;2421NE;12/1/2021
713;2408TN;3/1/2022
714;2403XC;11/3/2022
715;2341VT;8/7/2020
716;2332AG;3/3/2022
717;2313TM;9/26/2022
718;2313TV;6/15/2022
719;2311BW;12/1/2021
720;2295LS;11/10/2022
721;2295LS;2/1/2022
722;2295LS;11/3/2022
723;2295LS;10/6/2022
724;2493XB;12/3/2022
725;2282NM;8/31/2018
726;2282NM;9/7/2018
727;2282NM;11/23/2018
728;2271AV;11/19/2018
729;2492LN;5/18/2022
730;2492LN;11/1/2021
731;2263HP;10/7/2022
732;2263HP;11/9/2022
733;2261HA;12/4/2018
734;2244EN;12/23/2018
735;2215WL;12/1/2021
736;2314BS;12/1/2020
737;2314BS;12/22/2022
738;7334DN;2/5/2019
739;2201WX;5/24/2018
740;2181RL;11/3/2022
741;2135BK;12/1/2021
742;2024RP;12/1/2020
743;2114AD;8/17/2020
744;2104BJ;6/18/2018
745;2061HS;1/1/2022
746;2015GD;8/17/2020
747;2023KG;4/3/2018
748;3515AV;9/18/2020
749;1971RE;11/4/2022
750;1966TC;10/1/2021
751;1967GH;5/14/2022
752;1902GK;6/15/2022
753;1902GK;12/1/2021
754;1902GK;11/3/2022
755;1902GK;12/1/2021
756;1901SV;5/25/2018
757;1901DS;12/2/2022
758;1852AB;3/26/2018
759;1834KN;5/30/2018
760;1826BJ;3/22/2018
761;1826BJ;6/21/2018
762;1825EL;3/3/2022
763;1824GM;3/12/2022
764;1824GM;11/8/2022
765;1816LX;3/2/2022
766;1789AT;10/12/2022
767;1789AT;11/9/2022
768;1789AT;6/16/2022
769;1782SM;3/12/2018
770;1749VC;12/1/2021
771;1741MH;11/12/2018
772;1723WG;6/25/2022
773;1723WG;10/31/2022
774;1697KC;11/3/2022
775;1687WP;12/21/2018
776;1625ZL;11/8/2022
777;1628MR;12/21/2022
778;1621BH;5/15/2018
779;1616PL;9/29/2022
780;1613KA;6/6/2018
781;1606CV;10/6/2022
782;1531NN;12/1/2021
783;1507KA;7/4/2020
784;1502NP;5/14/2018
785;1447XN;1/10/2020
786;1447PJ;12/6/2018
787;1398AA;10/25/2018
788;1391EG;12/24/2022
789;1333TE;9/8/2020
790;1333SZ;11/1/2020
791;1333SZ;6/30/2020
792;1333SZ;11/8/2020
793;1325NR;1/1/2021
794;1276XV;6/19/2018
795;1275BL;5/29/2018
796;1261EJ;3/29/2019
797;1261EJ;11/4/2022
798;1251JJ;9/15/2022
799;1251JJ;4/1/2019
800;1251JJ;12/1/2020
801;1217PH;8/25/2022
802;1211MZ;3/12/2018
803;6661RK;5/28/2018
804;1187JP;3/27/2018
805;1187JP;10/31/2022
806;1181PW;12/1/2021
807;1171TW;12/1/2020
808;1132CR;5/15/2018
809;1338KC;12/1/2021
810;1106ZG;3/26/2018
811;1106ZG;1/1/2021
812;1106ZG;3/1/2022
813;1106ZG;12/1/2021
814;1097PC;3/15/2018
815;1097PC;6/15/2018
816;1097PC;5/15/2018
817;3584ZP;4/1/2019
818;1059BD;9/28/2020
819;1025AS;12/22/2022
820;1111RX;12/1/2021
821;1018VK;12/14/2022
822;1018SZ;10/6/2022
823;5438NB;3/29/2019
824;2106BW;12/1/2021
825;9051SB;12/6/2018
826;1018AK;12/1/2021
827;6644DS;6/20/2022
828;6998AZ;3/4/2022
829;6998AZ;12/4/2022
830;6998AZ;12/21/2022
831;6711HM;6/1/2021
832;9734AE;12/1/2021
833;5241HJ;12/1/2020
834;5241HJ;3/2/2022
835;5126HZ;7/5/2018
836;7431BV;7/30/2022
837;6604ES;12/1/2021
838;3066JB;12/1/2020
839;3817DP;7/1/2021
840;1111KP;12/9/2018
841;2571DD;11/4/2022
842;2571DD;1/1/2021
843;3581TC;5/28/2018
844;2566CK;11/4/2022
845;3065NH;10/17/2022
846;1985AE;10/7/2022
847;1718AD;12/1/2020
848;2271HR;5/30/2018
849;8191KC;2/23/2018
850;8191KC;3/26/2018
851;3811MS;12/1/2021
852;2343XE;12/1/2021
853;8835KX;11/8/2022
854;2131WT;3/1/2022
855;1015BN;5/1/2021
856;1318RW;12/1/2020
857;1318RW;4/1/2021
858;1318RW;12/1/2020
859;1318RW;8/1/2021
860;1318RW;12/1/2021
861;1318RW;12/11/2022
862;1318RW;12/24/2018
863;1318RW;12/30/2019
864;2025ZJ;8/6/2018
865;5212BV;12/1/2021
866;7543ER;11/14/2018
867;3882CG;2/23/2018
868;4834LS;11/3/2022
869;4834LS;10/8/2022
870;6442AW;12/6/2018
871;4103WL;12/2/2018
872;2311XW;8/1/2021
873;3032GA;12/1/2020
874;3032GA;3/1/2022
875;1112RN;5/25/2022
876;1112RN;7/26/2022
877;1749MX;10/7/2022
878;9084AS;12/29/2022
879;7006TC;11/6/2020
880;7006TC;11/3/2022
881;2611DV;3/1/2022
882;1834EZ;4/26/2019
883;1834EZ;6/15/2022
884;1058HE;5/11/2018
885;6135CK;4/6/2018
886;3583ED;3/3/2022
887;1502GD;11/1/2021
888;9101BW;6/22/2022
889;7597LP;11/5/2022
890;3451JK;3/1/2022
891;7608KT;8/15/2020
892;3813RS;12/26/2018
893;3813RS;12/1/2020
894;8162NC;2/23/2018
895;8162NC;12/23/2018
896;3824EC;6/19/2020
897;3824EC;3/1/2022
898;3432EC;11/1/2022
899;3446AD;11/3/2022
900;3446AD;12/25/2022
901;1813SB;3/2/2022
902;1813SB;12/9/2022
903;1813SB;12/1/2021
904;1011TB;8/8/2020
905;9472ZC;5/22/2022
906;3581WZ;4/2/2022
907;4301DJ;11/6/2022
908;3941CD;2/1/2021
909;3941CD;12/1/2021
910;3972MB;11/9/2022
911;2645EZ;11/10/2022
912;5245AN;6/25/2018
913;2595EP;9/16/2020
914;2993DW;2/24/2018
915;5731GE;12/1/2020
916;8701WH;11/19/2020
917;8701WH;12/25/2018
918;8226RL;12/22/2022
919;1501AB;11/3/2022
921;3021HD;3/25/2022
922;3021HD;11/8/2022
923;2171RB;3/24/2019
924;2611WL;6/20/2022
925;1846LP;1/16/2019
926;7827HW;11/30/2022
927;7827HW;12/23/2018
928;3453TS;3/6/2018
929;3016DB;9/25/2022
930;3016DB;3/13/2018
931;3016DB;1/4/2019
932;3016DB;1/11/2019
933;9751HW;3/2/2022
934;2722CZ;12/1/2021
935;8023BJ;5/1/2021
936;3533SR;9/1/2021
937;3581MK;4/6/2022
938;2343EC;11/1/2022
939;1017DR;7/12/2022
940;9766PB;12/1/2021
941;2023WJ;12/1/2021
942;2023WJ;11/3/2022
943;4105WB;12/7/2018
944;4105WB;11/8/2022
945;1432NH;12/23/2022
946;2324CS;1/1/2022
947;8032PD;12/1/2021
948;8032PD;1/5/2019
949;8911DW;11/11/2022
950;3541ER;11/16/2022
951;2551GA;12/2/2019
952;9728XJ;2/28/2018
953;9728XJ;3/28/2018
954;9728XJ;5/28/2018
955;1215CA;3/2/2022
956;2941BL;2/28/2022
957;9722WN;12/1/2021
958;7433HJ;1/29/2018
959;7433HJ;12/1/2020
960;1062JV;12/1/2021
961;2318MA;12/1/2021
962;2318MA;5/17/2022
963;3531RB;1/1/2022
964;3531RB;2/26/2018
965;5237WL;8/11/2020
966;3742HK;1/1/2022
967;1775JH;9/1/2021
968;7773AH;6/21/2022
969;3233DE;8/15/2020
970;3233DE;5/16/2018
971;9123KD;9/26/2018
972;3533CM;12/1/2020
973;3533CM;7/14/2019
974;3533CM;12/1/2021
975;5051MG;12/1/2021
976;5051MG;3/18/2022
977;5051MG;11/16/2022
978;2274GS;11/29/2018
979;8433NK;5/27/2020
980;1019MP;5/28/2018
981;1321SL;3/1/2022
982;3731GH;3/2/2022
983;3731GH;12/1/2021
984;2317KJ;8/29/2019
985;4388EV;11/4/2022
986;9745DH;3/1/2022
987;8075PH;3/2/2022
988;6686CN;12/1/2021
989;2497AR;12/1/2021
990;7392AD;3/27/2018
991;2597LH;4/17/2020
992;7552GT;6/25/2022
993;2636CK;1/1/2020
994;2103VK;7/1/2021
995;2645JG;5/24/2019
996;2645JG;6/1/2021
997;2645JG;1/1/2022
