PLEDGE_ID;ACQUISITIONDATE;PC6
78;2/22/2022;1183GD
79;2/6/2019;6955AZ
80;10/27/2022;6955AZ
81;10/25/2022;7946AK
82;3/12/2019;3069LL
83;7/25/2022;2641VK
84;11/1/2022;4411DK
85;1/12/2018;2381TP
86;6/11/2019;4335BA
87;11/7/2022;1852RJ
88;3/11/2021;5741XM
89;5/30/2020;4641CM
90;12/14/2022;5401BP
91;9/27/2022;2635CC
92;12/10/2019;6861XM
93;12/18/2018;5236WR
94;7/10/2021;1111BW
95;4/9/2019;6708DB
96;5/3/2022;4374BT
97;11/14/2022;4384HJ
98;12/27/2019;3417GH
99;5/1/2019;4461TH
100;3/16/2021;6075CN
101;6/29/2019;9722LJ
102;8/13/2020;7607VN
103;10/16/2018;5502VA
104;7/26/2018;2596XV
105;3/1/2019;9414AK
106;7/24/2019;4388VM
107;11/16/2022;6521EM
108;4/22/2021;4318BA
109;12/14/2020;3632AP
110;1/11/2022;3632AP
111;8/7/2019;4382CJ
112;10/3/2019;4675BM
113;9/18/2019;2182BK
114;5/19/2018;4341NB
115;3/22/2021;3533GW
116;12/6/2022;2101RC
117;2/28/2018;5981CG
118;8/3/2021;1321GT
119;5/22/2021;1077HA
120;5/20/2021;2015JS
121;9/10/2022;2103SR
122;1/5/2019;3035SM
123;10/7/2019;6245ET
124;9/21/2022;8245EN
125;6/4/2021;4101WE
126;5/2/2019;4847RP
127;2/24/2018;3411BD
128;7/4/2020;3561KV
129;9/23/2020;3962HX
130;5/17/2019;5401PG
131;5/22/2021;5801CE
132;7/28/2022;3311RD
133;10/29/2018;7314NE
134;9/19/2019;4325AL
135;12/15/2022;9401HG
136;10/25/2022;4381NR
137;11/19/2019;4254ED
138;11/8/2019;7513ZD
139;12/27/2018;9752EK
140;5/15/2021;3956XZ
141;10/17/2022;2121AA
142;12/1/2018;7327BJ
143;10/2/2019;9722JX
144;6/8/2021;1107VP
145;8/26/2022;1191CB
146;2/27/2018;2353DB
147;10/15/2018;2973AJ
148;3/17/2018;4285XH
149;4/29/2021;5581VK
150;2/12/2019;6971WJ
151;8/8/2020;4791KC
152;5/27/2019;2806VC
153;5/27/2019;2806VC
154;9/8/2021;2806VC
155;2/18/2019;4388JK
156;12/17/2018;6861AZ
157;5/24/2018;5629RH
158;8/17/2022;7316CA
159;8/22/2022;2317GV
160;11/11/2022;1222RE
161;12/5/2018;8011CD
162;8/9/2022;6532XZ
163;1/11/2020;4907HC
164;9/1/2018;4214DE
165;6/1/2018;5056WE
166;2/16/2018;3241LL
167;8/24/2018;3765BR
168;8/22/2022;2317GW
169;4/6/2021;5708HM
170;4/15/2019;4741ED
171;10/27/2022;5161TZ
172;9/3/2022;1338PX
173;9/23/2022;3881PA
174;11/19/2022;2015ES
175;2/20/2019;1215EJ
176;5/8/2018;6828JV
177;6/17/2019;2421AB
178;4/10/2018;2288DB
179;12/28/2018;7231GB
180;2/23/2018;1217LZ
181;12/8/2022;4388AV
182;1/13/2018;4841BP
183;4/20/2021;6043RR
184;2/13/2019;7322HL
185;7/30/2018;3817KL
186;10/24/2022;1625AB
187;1/26/2020;3511MP
188;5/3/2022;1971ZD
189;12/5/2022;4001HP
190;12/11/2018;6533WK
191;5/7/2018;5688SM
192;4/13/2021;2435AT
193;1/24/2021;9883PR
194;3/20/2021;1025ZM
195;6/13/2022;2023CJ
196;11/22/2019;2652JG
197;1/12/2019;6991AZ
198;8/10/2018;9204BE
199;2/2/2018;2241WE
200;12/19/2018;3704RN
201;8/12/2022;6691XL
202;2/22/2019;6713HM
203;12/8/2022;4388BG
204;1/5/2022;3958BS
205;10/24/2018;2266CB
206;4/2/2021;6171TX
207;8/12/2019;4441BE
208;6/27/2020;4152DB
209;7/6/2022;4152DB
210;7/15/2022;5236AJ
211;8/6/2021;1011VP
212;1/7/2022;1108HP
213;12/24/2018;7316CZ
214;9/8/2022;6874CB
215;12/24/2018;5282NN
216;10/9/2018;9255MB
217;12/28/2019;4811CN
218;5/6/2021;3232CT
219;7/10/2020;7323KG
220;12/21/2022;6921AP
221;3/7/2018;2242EB
222;1/11/2022;1183KD
223;7/13/2018;5061VH
224;7/5/2019;6703AV
225;4/17/2018;6705BX
226;1/14/2022;5263CS
227;10/22/2019;9711VW
228;4/11/2018;3743HT
229;8/18/2022;2131PM
230;1/14/2019;5505NB
231;4/15/2021;2671NJ
232;3/7/2022;2341LV
233;10/17/2022;2121CB
234;5/5/2022;1406TG
235;8/27/2020;2611WL
236;8/20/2021;1077TN
237;9/16/2022;6703EC
238;12/6/2019;9727HG
239;11/1/2021;1011WC
240;11/3/2022;5095AE
241;3/11/2019;6861AS
242;11/21/2018;7414HD
243;8/14/2018;2566ZP
244;8/25/2022;3941GR
245;11/30/2022;2034ED
246;8/20/2018;1722WE
247;7/20/2021;6843HJ
248;9/28/2018;6716LA
249;2/14/2019;7214BC
250;8/26/2022;3941CM
251;3/9/2018;5037MK
252;2/3/2018;2171CR
253;11/18/2022;3421CK
254;2/2/2021;3834XR
255;6/23/2021;4907BC
256;2/6/2018;7601AK
257;10/4/2018;2371EH
258;8/19/2020;5242GA
259;2/8/2019;7411ZG
260;12/23/2019;5281BA
261;2/8/2020;5671VR
262;11/28/2022;3962JM
263;12/16/2019;8072AC
264;5/6/2022;5212SE
265;3/2/2018;3223PG
266;1/16/2019;3813LS
267;10/22/2018;2342CM
268;3/14/2019;4339BE
269;11/25/2022;3642BG
270;1/3/2018;4331PX
271;1/22/2020;4331PX
272;7/26/2019;4623XZ
273;1/3/2020;2623RB
274;11/7/2022;2623RB
275;3/14/2019;4339AA
276;11/20/2019;4339AA
277;5/26/2019;2512EE
278;2/2/2018;1738BE
279;8/6/2018;2613BP
280;2/12/2022;1398EN
281;11/19/2022;3421XD
282;4/5/2018;2401LT
283;8/25/2022;3741AB
284;11/26/2022;8757JS
285;2/1/2019;8021WB
286;11/13/2019;2635HW
287;5/11/2019;4735AK
288;1/10/2022;5216XA
289;7/7/2018;4614CA
290;12/23/2017;4382JL
291;8/17/2022;3523XK
292;4/27/2018;5212BV
293;4/22/2022;1816KD
294;6/9/2018;4101ZB
295;12/10/2022;4421AA
296;8/22/2018;3262HD
297;4/13/2019;7351AK
298;10/13/2018;1273GM
299;1/30/2018;2317KG
300;4/10/2018;5702PP
301;8/15/2018;6137HH
302;11/24/2022;3722BD
303;5/10/2019;6524SV
304;4/23/2018;4331CA
305;12/20/2022;8629PJ
306;10/22/2018;1749XJ
307;5/31/2021;4007SC
308;6/19/2019;4472AV
309;3/8/2018;1689GK
310;5/13/2022;6551BK
311;4/29/2021;8302MX
312;12/17/2022;4333KC
313;3/5/2019;6824JN
314;11/21/2018;8231AT
315;12/30/2021;1098VM
316;11/28/2022;6564BG
317;3/10/2022;6813JP
318;6/2/2022;4906LR
319;12/3/2018;7415JB
320;9/15/2018;3845CV
321;11/22/2018;9076AA
322;12/14/2019;7595KL
323;11/22/2019;9271EA
324;6/23/2018;8071CL
325;4/28/2021;8011LL
326;10/21/2020;2681EM
327;8/30/2019;2566KM
328;7/31/2021;1862JE
329;8/8/2020;2724PA
330;5/22/2021;3291AN
331;8/10/2018;3772LJ
332;10/28/2018;2925EK
333;7/6/2018;4311BE
334;2/24/2021;4311BE
335;8/16/2021;3531HV
336;5/12/2021;6707AK
337;8/29/2019;2242GA
338;3/30/2019;3253BE
339;11/19/2022;3206HD
340;4/9/2021;4561XV
341;11/29/2022;5032CW
342;1/12/2022;6287CJ
343;1/11/2019;7546MX
344;4/18/2019;3313BN
345;2/15/2019;1782DD
346;11/16/2019;5361JD
347;4/21/2021;3738JV
348;9/22/2021;8271BD
349;2/8/2020;5126HW
350;2/18/2019;6662ZM
351;9/16/2022;6704AJ
352;9/18/2019;2182BH
353;6/23/2018;8096BZ
354;9/17/2022;8096BZ
355;9/12/2022;5025SB
356;11/5/2019;6467GD
357;7/8/2020;5629RA
358;4/10/2018;1614SV
359;4/24/2021;5831WL
360;5/4/2021;5242AK
361;2/8/2022;5626GG
362;5/17/2018;1755PL
363;4/29/2019;4463VM
364;9/15/2022;7206EV
365;6/11/2019;6861AT
366;10/28/2022;3436GL
367;9/16/2022;6703DS
368;5/4/2021;5087BS
369;9/20/2019;4363AG
370;11/3/2020;6217KX
371;10/21/2019;2341LN
372;9/30/2019;1335BT
373;1/11/2018;2582SV
374;7/30/2020;5012EK
375;1/9/2020;3225AG
376;4/15/2019;6987CR
377;3/2/2019;8032KB
378;10/11/2022;2082HD
379;6/23/2018;1261NP
380;9/17/2018;5531GL
381;7/5/2022;5298AX
382;11/21/2020;5531GP
383;12/11/2018;6883GE
384;12/13/2019;7981DG
385;8/2/2021;6711DL
386;3/2/2019;6834GG
387;7/1/2022;4901AC
388;3/16/2021;6017CS
389;8/23/2019;4411AM
390;11/16/2022;6865CV
391;2/16/2019;7511AM
392;8/13/2019;8441AR
393;4/15/2021;3512PH
394;4/15/2021;3512PH
395;9/15/2018;7553KK
396;4/19/2021;1383KL
397;5/26/2021;7001GB
398;9/25/2018;4273CN
399;8/26/2019;4364BJ
400;5/3/2022;4371AR
401;7/24/2019;6823PA
402;9/9/2019;2286KJ
403;4/10/2021;7542EE
404;10/10/2019;6525GS
405;1/5/2022;6141MB
406;7/13/2021;4727SZ
407;7/27/2020;2403JK
408;11/23/2019;6523MT
409;11/23/2019;6523MT
410;7/21/2021;8715KB
411;7/21/2021;8715KB
412;12/10/2018;3823CE
413;11/2/2019;2334CC
414;4/22/2021;1091EC
415;9/30/2019;4401AZ
416;1/4/2022;1025LH
417;12/3/2018;3906NC
418;4/6/2018;2411SW
419;11/15/2018;9502TA
420;1/6/2022;5912SP
421;10/22/2022;1432BG
422;12/27/2018;2102BV
423;8/17/2018;4337MC
424;7/4/2018;4339BS
425;5/16/2019;6039BW
426;12/19/2022;5624NH
427;8/6/2022;1213CA
428;12/12/2018;5627MG
429;8/26/2022;2071EV
430;2/20/2019;2593ED
431;3/15/2021;1015DW
432;4/11/2019;5216AW
433;11/24/2022;5066BD
434;12/9/2021;3962HV
435;2/8/2020;4904XJ
436;7/16/2020;8034RB
437;8/16/2022;5012JD
438;6/25/2021;4352AJ
439;12/17/2022;4333GE
440;11/15/2018;7604AR
441;12/3/2019;6561CM
442;12/20/2022;3602AG
443;8/10/2020;6002CM
444;5/4/2018;2361GG
445;8/23/2018;2613CS
446;8/1/2018;4365BM
447;4/18/2018;1214GW
448;7/27/2022;3314ZV
449;2/20/2018;4461TX
450;7/10/2019;2334BM
451;11/10/2022;6221BJ
452;12/8/2018;4617MP
453;6/3/2021;7431AE
454;5/25/2022;2182RW
455;8/22/2022;2317GW
456;11/24/2022;6231JG
457;12/20/2022;3371CJ
458;10/22/2022;1965NX
459;12/3/2019;6461VT
460;5/8/2018;4695BZ
461;7/27/2021;4695BZ
462;9/12/2022;3768CK
463;4/17/2021;4535BX
464;3/12/2019;3069LL
465;8/14/2018;5032AP
466;9/13/2022;2251PE
467;7/28/2020;6225HM
468;7/19/2019;4651MD
469;9/7/2019;5401GV
470;8/25/2018;4462VD
471;8/12/2022;3082SJ
472;4/21/2021;6225EK
473;8/8/2022;2343SV
474;11/25/2019;5993AW
475;11/30/2022;2341GH
476;12/12/2022;7419BA
477;12/27/2018;6004BN
478;11/24/2022;3723EL
479;10/26/2022;7334CT
480;10/10/2018;2291JD
481;12/28/2018;6815CD
482;12/3/2022;4854RN
483;11/12/2018;8252GG
484;10/20/2021;5247XC
485;6/27/2020;4611LJ
486;9/27/2018;9982AL
487;7/14/2021;7331VD
488;8/22/2022;2102BK
489;9/20/2022;2105TN
490;10/25/2022;6681MD
491;11/21/2018;7335CC
492;11/1/2018;8561DD
493;9/27/2022;5109TJ
494;8/18/2022;3741WE
495;8/29/2019;2317KD
496;1/3/2019;8162HL
497;11/28/2022;9265LV
498;5/3/2021;9406EH
499;6/4/2018;2965BG
500;8/15/2020;6874BN
501;10/31/2018;9715RM
502;12/20/2019;4817HK
503;1/27/2021;4691HA
504;10/25/2018;1724NV
505;1/31/2018;1723HM
506;12/30/2021;2132RB
507;4/21/2022;2012ES
508;9/14/2018;6813HL
509;7/21/2020;7711KZ
510;5/12/2021;1442CJ
511;12/14/2019;6001AA
512;11/2/2022;7161GK
513;7/15/2022;4847HG
514;3/11/2019;3251CW
515;10/15/2021;1671MX
516;11/13/2018;3083SE
517;6/30/2018;4741CG
518;1/15/2022;6524SB
519;5/12/2018;6843LC
520;11/26/2022;5804AA
521;11/26/2018;8601ES
522;10/7/2022;4201BE
523;12/27/2019;4675AV
524;7/23/2021;4675AV
525;12/31/2019;3262CX
526;6/15/2018;2132AB
527;8/12/2021;2032ZK
528;1/7/2022;6213KA
529;12/12/2018;9404ES
530;12/8/2022;4388JV
531;6/24/2020;3016DL
532;4/19/2021;1383GN
533;11/12/2022;1383GN
534;5/3/2019;8446NT
535;11/25/2021;3925TC
536;10/16/2019;9467PR
537;11/16/2022;3581RT
538;3/24/2018;3755SB
539;8/13/2020;2725KT
540;5/23/2018;6842AC
541;1/31/2020;6065CT
542;12/23/2019;1435NK
543;9/17/2021;8256ET
544;4/22/2018;1734JH
545;8/5/2020;3417JB
546;8/17/2022;7451CH
547;5/17/2021;1851LD
548;8/27/2022;1851LD
549;12/14/2018;5213HJ
550;5/2/2019;6708BE
551;2/24/2018;2311XH
552;4/30/2022;5223HB
553;4/15/2021;4921KP
554;11/16/2022;3833CW
555;12/28/2019;2015KL
556;8/26/2022;1191CB
557;8/24/2018;4501BB
558;7/20/2020;3853TC
559;10/10/2019;4443AN
560;12/27/2018;7553CG
561;7/10/2020;7323KD
562;6/21/2019;1719LC
563;8/17/2021;4416EL
564;8/5/2021;1567BH
565;10/1/2022;1175LC
566;11/2/2022;3844ZJ
567;10/14/2022;6681VG
568;10/19/2018;4461EN
569;4/1/2020;4461EN
570;10/31/2019;4461EN
571;8/25/2022;4845CT
572;3/10/2022;2151CP
573;11/12/2022;9521KK
574;2/4/2019;6542SZ
575;8/31/2021;3247XE
576;1/30/2018;4461MB
577;10/24/2018;7812KB
578;6/29/2020;7904KL
579;5/28/2018;2805AJ
580;11/22/2019;9298PR
581;7/24/2021;1019DV
582;12/22/2018;2596BW
583;4/21/2021;8261AH
584;5/16/2022;3481GP
585;4/2/2021;3381LR
586;3/8/2019;4337ME
587;6/29/2019;9745CC
588;10/22/2018;4331CM
589;9/9/2021;3264XH
590;11/14/2018;7327GN
591;2/16/2018;5152TD
592;8/22/2018;9074DC
593;5/28/2018;9035EX
594;12/22/2018;2596CC
595;3/23/2022;2402GW
596;12/13/2022;7419BX
597;4/17/2019;4223NV
598;9/22/2022;4223NV
599;9/21/2018;5582CC
600;4/21/2021;7121CG
601;7/14/2020;3755HD
602;7/17/2019;2613VB
603;12/29/2017;4461BG
604;8/14/2020;3852JG
605;4/7/2018;4423AP
606;6/22/2022;4335AC
607;2/15/2018;4815CV
608;11/18/2022;1381VV
609;11/20/2019;3734BB
610;9/20/2018;7512DD
611;2/6/2021;5911BL
612;2/1/2020;2965CH
613;3/21/2019;4307CA
614;5/14/2022;1182JT
615;5/3/2019;3255AH
616;12/21/2021;1019PC
617;8/6/2020;3906EV
618;3/23/2018;2341JP
619;11/30/2019;2341JP
620;8/29/2022;5271BC
621;8/10/2018;2561VR
622;11/4/2022;2311XT
623;11/12/2018;6546VX
624;9/19/2022;4031KS
625;5/30/2019;8931DN
626;6/19/2021;1017XP
627;11/15/2022;4142SN
628;2/7/2020;3381BB
629;7/27/2022;3381BB
630;7/7/2020;2711JH
631;12/18/2018;8014RN
632;11/2/2021;8932LX
633;12/6/2022;7431CL
634;3/12/2019;4614JX
635;3/29/2019;8181HN
636;6/19/2019;1761HE
637;2/18/2019;6971AV
638;6/27/2018;5263AJ
639;9/18/2018;2274KB
640;3/19/2018;4233CT
641;8/3/2022;5737ED
642;10/27/2018;8432PD
643;3/25/2019;1702AE
644;4/8/2018;4724HA
645;5/24/2022;3583BJ
646;11/18/2022;8326BR
647;5/12/2021;1782GJ
648;6/4/2019;4311CM
649;7/1/2020;4311CM
650;12/15/2018;1822AD
651;5/17/2019;5401JB
652;1/10/2022;6367CR
653;10/29/2018;9756CC
654;11/4/2021;8302MZ
655;8/1/2019;4334SB
656;12/28/2018;7443PX
657;1/4/2019;4902VJ
658;1/17/2019;9401GG
659;8/22/2018;6881MX
660;11/1/2018;8563AC
661;5/8/2019;6931BN
662;3/7/2018;2371TR
663;9/5/2022;5044SP
664;8/10/2020;2421HD
665;4/6/2018;2023EW
666;4/28/2021;1141TX
667;12/17/2019;2353JT
668;1/12/2022;3705CC
669;5/11/2018;3045BC
670;9/17/2018;2121AC
671;6/12/2018;4333GN
672;12/22/2022;1822RR
673;12/28/2021;3751AN
674;12/20/2022;3437GN
675;9/18/2019;1102WG
676;7/5/2021;5807CE
677;5/18/2022;2111BD
678;6/15/2020;3734GW
679;3/1/2019;2514HN
680;10/18/2022;2102GW
681;11/9/2022;5041DM
682;5/15/2018;4301WT
683;8/28/2018;1693LR
684;8/12/2019;4441BE
685;12/22/2018;2274HH
686;5/15/2021;5912PE
687;1/5/2019;6891EG
688;11/19/2018;5258CC
689;6/22/2020;5258CC
690;3/12/2022;8055PV
691;5/5/2022;1902MN
692;12/14/2018;5345MN
693;2/18/2020;5613BJ
694;3/26/2021;1015AK
695;8/9/2019;3255LV
696;9/26/2022;6953CE
697;9/10/2022;4834XM
698;12/19/2022;5283LP
699;5/19/2018;2271VE
700;12/17/2019;8161ZB
701;6/9/2021;4334AL
702;5/18/2022;2343BV
703;10/24/2022;1625AE
704;1/3/2019;8162GB
705;11/6/2018;2596CB
706;10/17/2022;7955BA
707;4/16/2019;6576BM
708;6/10/2021;1068RG
709;12/17/2018;3051ER
710;7/29/2022;1401GK
711;3/21/2022;2011ZZ
712;3/6/2020;3632TB
713;10/20/2022;5045JC
714;4/17/2018;8245BV
715;12/8/2022;4388AE
716;5/16/2018;1703BA
717;5/31/2022;5401AK
718;12/14/2022;5401AK
719;3/20/2021;3124AK
720;6/9/2021;1619XD
721;3/16/2022;3904JH
722;6/21/2019;6532ZC
723;8/9/2022;2343TZ
724;11/2/2018;6524RR
725;4/30/2021;1075PT
726;4/20/2021;5386AD
727;8/8/2018;7522JT
728;2/12/2018;2741MZ
729;2/18/2019;4388JB
730;4/29/2022;1181ER
731;8/16/2022;4388HE
732;7/6/2022;1405GZ
733;1/23/2018;4001NL
734;8/3/2020;3732GJ
735;4/26/2021;3607DC
736;10/24/2018;9751NK
737;11/21/2018;7641JD
738;12/11/2021;4133BK
739;2/15/2019;7823RP
740;9/19/2019;1181PJ
741;4/1/2019;6822KH
742;7/31/2019;2022RL
743;4/3/2021;6704AK
744;8/26/2022;1215CN
745;10/24/2018;9751AK
746;6/25/2021;2061VH
747;2/11/2022;5342EK
748;11/1/2019;2641DV
749;8/11/2021;1861LB
750;8/17/2018;1616PK
751;10/9/2021;5631NP
752;8/3/2021;1901AL
753;1/3/2018;3906BH
754;12/24/2018;2161CX
755;12/27/2017;3031SM
756;6/28/2021;1058KD
757;8/5/2021;1051PT
758;7/21/2020;2406GH
759;1/10/2022;2334AR
760;3/29/2022;5631JE
761;6/16/2018;4233HC
762;4/16/2021;5361CW
763;7/19/2021;9403WZ
764;7/19/2021;9403WZ
765;9/22/2022;5735BC
766;4/6/2018;2023JN
767;8/17/2022;1081JK
768;3/26/2021;3905MH
769;8/31/2022;1911HV
770;11/24/2021;3931AL
771;11/19/2020;3371AX
772;7/14/2022;1153PG
773;12/28/2019;1077DM
774;1/21/2019;3828PS
775;10/5/2018;2343EW
776;7/7/2018;4416CB
777;11/13/2019;5151CE
778;9/16/2022;5614AA
779;10/2/2018;5392CC
780;1/8/2021;3413MP
781;7/30/2020;8321DA
782;3/29/2019;7558AA
783;3/22/2021;2991HG
784;6/16/2018;5644RH
785;10/2/2021;3515VV
786;3/16/2021;5761GB
787;8/31/2021;2023LE
788;7/22/2021;1053VN
789;10/19/2022;1851KM
790;4/6/2021;6212HD
791;2/26/2018;3972DD
792;8/28/2019;2253HV
793;11/25/2021;8801MB
794;11/13/2018;7534GD
795;12/20/2019;2102XT
796;9/30/2022;7009BK
797;11/2/2019;2341VX
798;4/30/2019;4524AK
799;8/16/2022;4388JP
800;3/7/2019;3245TR
801;7/1/2021;6703ED
802;1/23/2019;7211AR
803;6/17/2022;1412AT
804;11/8/2022;1223AL
805;11/14/2018;7908MZ
806;11/16/2022;2111AE
807;2/8/2020;4941WN
808;6/12/2018;2271XJ
809;10/24/2022;1391RT
810;2/27/2018;6824MP
811;12/27/2021;3312HB
812;3/21/2022;1141BH
813;9/14/2022;1141BH
814;8/12/2020;1185HR
815;7/12/2022;6862WL
816;12/14/2021;3971GX
817;10/18/2022;4156AL
818;9/17/2022;2351SW
819;3/26/2021;2203BC
820;11/30/2022;8501CT
821;8/9/2019;4761EC
822;9/20/2022;2587GL
823;8/3/2022;1901HR
824;11/16/2022;3833CW
825;2/2/2019;1181PX
826;2/27/2019;4335EN
827;10/25/2022;1018LG
828;6/28/2022;5057EM
829;9/8/2018;2101EM
830;12/6/2022;2101EM
831;10/10/2018;2411JB
832;5/20/2021;4207BE
833;9/20/2018;7468EL
834;4/15/2021;6711MN
835;7/30/2022;1191GS
836;5/20/2021;3641PV
837;8/27/2019;2352EC
838;12/23/2022;6336AR
839;5/24/2022;4814NJ
840;9/18/2019;7813BZ
841;3/2/2018;1742ER
842;10/30/2018;6814HJ
843;5/21/2021;1851CA
844;11/15/2018;1723KD
845;12/24/2021;3351EZ
846;7/3/2021;6721DS
847;10/3/2022;3737RG
848;5/4/2022;1186ZL
849;11/16/2019;2071BA
850;10/26/2022;1221HP
851;12/22/2022;3421AW
852;5/24/2019;6534VB
853;11/9/2022;5041CN
854;6/29/2019;7901JG
855;5/1/2018;4251CS
856;11/19/2022;2661ST
857;7/12/2021;3991BD
858;9/24/2019;4333AV
859;9/29/2020;8017BH
860;8/8/2022;5741JG
861;8/4/2020;8322AA
862;10/19/2022;5224CM
863;12/2/2021;8927AH
864;10/21/2019;2512CE
865;9/9/2021;5271PC
866;4/26/2022;2231GJ
867;11/25/2019;5993AW
868;11/30/2021;5993AW
869;6/8/2020;5037TT
870;8/30/2022;5037TT
871;8/14/2020;3981GD
872;3/2/2022;8921BH
873;6/18/2022;1705CS
874;1/23/2019;7546HE
875;2/8/2020;5694WS
876;5/23/2019;4331SG
877;11/15/2022;5361HB
878;4/15/2019;4334EH
879;6/21/2022;2024GK
880;9/27/2022;6231CR
881;10/28/2022;3572TZ
882;5/3/2021;2421CZ
883;2/8/2020;5103CE
884;4/20/2022;1107SK
885;12/21/2019;3743CW
886;6/21/2022;2023SZ
887;12/17/2019;4301ZW
888;8/22/2018;1901DS
889;6/22/2022;3705BC
890;6/25/2019;2333VN
891;11/17/2018;9321LP
892;5/7/2021;7814TC
893;7/13/2019;4691EE
894;9/22/2022;3124TS
895;4/19/2022;1025MZ
896;1/28/2022;8606AB
897;5/29/2020;4907GC
898;10/10/2019;6523DN
899;4/10/2021;7907CP
900;3/7/2019;3022DJ
901;4/21/2022;3151HJ
902;7/20/2021;1562BR
903;7/5/2019;6531KB
904;8/19/2020;3852GK
905;3/26/2019;6525CH
906;11/21/2018;3831SJ
907;2/1/2020;2727DD
908;1/9/2020;4285AB
909;2/17/2022;6051EZ
910;10/8/2018;4561KG
911;8/9/2022;6866BX
912;11/5/2021;8495NG
913;12/30/2022;3319BR
914;10/24/2022;3043CN
915;2/22/2021;1019CS
916;12/8/2022;2134GP
917;11/29/2019;2496VP
918;1/24/2019;1223NE
919;10/12/2022;1505BD
920;10/25/2022;1215EJ
921;6/4/2021;8265KG
922;3/29/2019;4451CS
923;7/15/2021;3925ET
924;3/22/2021;6903VM
925;7/20/2022;1028BC
926;8/26/2022;2215ME
927;12/9/2022;1401AG
928;4/13/2021;1325JH
929;4/13/2021;1325JH
930;10/28/2022;3436GP
931;7/14/2022;1214JG
932;4/8/2019;4373AS
933;3/26/2021;1689EV
934;10/24/2022;1625ZK
935;8/28/2019;2252AC
936;1/30/2019;7315HD
937;11/24/2022;1014ZE
938;3/2/2019;3902JK
939;8/28/2020;5403EH
940;12/14/2022;5403EH
941;1/30/2018;8043ES
942;11/19/2019;4254ES
943;5/28/2022;1062LC
944;2/23/2019;4561NS
945;2/17/2020;3144LG
946;9/2/2022;4691BG
947;10/3/2022;3823AE
948;5/27/2019;4301WT
949;8/6/2022;1213CR
950;12/22/2021;3135KW
951;12/21/2022;6721SZ
952;6/21/2022;3053PJ
953;2/10/2022;3812EX
954;12/19/2022;5671CP
955;9/26/2022;5233NE
956;1/3/2019;8181MA
957;7/8/2022;2252ER
958;5/28/2021;5244GM
959;11/15/2022;7415CT
960;12/1/2018;5283ZJ
961;6/4/2018;8226NE
962;6/27/2022;5671VN
963;8/12/2021;4481DK
964;11/25/2022;4481DK
965;11/5/2022;8322AB
966;10/23/2018;1215JA
967;9/27/2018;7482GM
968;10/10/2022;3764BK
969;2/3/2022;3068CN
970;4/8/2021;6715DV
971;11/3/2022;5684GC
972;9/28/2022;6267BP
973;7/9/2021;1509AB
974;12/17/2018;4661EW
975;3/4/2022;4701LX
976;12/5/2018;8011XC
977;7/11/2018;4463CN
978;12/22/2018;8017LB
979;5/30/2019;5306AS
980;8/10/2018;5571KM
981;3/15/2019;3829AA
982;8/6/2018;5051BG
983;10/19/2022;6024BZ
984;1/6/2018;3931MC
985;11/13/2018;7546KW
986;7/6/2021;9204KS
987;12/7/2018;9406EE
988;4/6/2018;2317DD
